"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1505","Verify that user create a bookmark list from question detail page","purchased","Fri Jan 23 07:48:13 UTC 2026","failed","Fri Jan 23 07:48:15 UTC 2026","bookmark Page Test Cases","BookmarkTests/BookmarkTests.Purchased.spec.ts","",""
"","2559","Verify that user can change email successfully","purchased","Fri Jan 23 07:48:34 UTC 2026","passed","Fri Jan 23 07:48:37 UTC 2026","Settings Test Cases","SettingsTests/SettingsTests.Purchased.spec.ts","",""
"","1984","Verify that users cannot set an already registered email address as their new email.","purchased","Fri Jan 23 07:48:39 UTC 2026","passed","Fri Jan 23 07:48:41 UTC 2026","Settings Test Cases","SettingsTests/SettingsTests.Purchased.spec.ts","",""
"","8324","Verify that user can remove the shared answer from the community","purchased","Fri Jan 23 07:49:18 UTC 2026","passed","Fri Jan 23 07:49:26 UTC 2026","Technical Question page Test Cases","TechnicalQuestionDetailsTests/TQuestionTests.Purchased.spec.ts","",""
"","1632","Verify that the user can update their details, including location, social media links, portfolio links, and bio.","purchased","Fri Jan 23 07:48:41 UTC 2026","passed","Fri Jan 23 07:48:42 UTC 2026","Settings Test Cases","SettingsTests/SettingsTests.Purchased.spec.ts","",""
"","2690","Verify that user cannot enter invalid characters to the username field","purchased","Fri Jan 23 07:48:32 UTC 2026","passed","Fri Jan 23 07:48:34 UTC 2026","Settings Test Cases","SettingsTests/SettingsTests.Purchased.spec.ts","",""
"","4438","Succesfully Answer a Question","purchased","Fri Jan 23 07:49:02 UTC 2026","passed","Fri Jan 23 07:49:07 UTC 2026","Technical Question page Test Cases","TechnicalQuestionDetailsTests/TQuestionTests.Purchased.spec.ts","",""
"","4418","Open a free question","user","Fri Jan 23 07:48:34 UTC 2026","passed","Fri Jan 23 07:48:39 UTC 2026","Technical Question page Test Cases","TechnicalQuestionDetailsTests/TQuestionTests.Member.spec.ts","",""
"","2508","Verify that user can update their username","purchased","Fri Jan 23 07:48:29 UTC 2026","passed","Fri Jan 23 07:48:32 UTC 2026","Settings Test Cases","SettingsTests/SettingsTests.Purchased.spec.ts","",""
"","4240","Check submission tab when there are no submissions","purchased","Fri Jan 23 07:48:42 UTC 2026","passed","Fri Jan 23 07:48:47 UTC 2026","Technical Question page Test Cases","TechnicalQuestionDetailsTests/TQuestionTests.Purchased.spec.ts","",""
"","1719","Verify that users cannot change their email again immediately after updating it.","purchased","Fri Jan 23 07:48:37 UTC 2026","passed","Fri Jan 23 07:48:39 UTC 2026","Settings Test Cases","SettingsTests/SettingsTests.Purchased.spec.ts","",""
"","1451","Check the progress bar","purchased","Fri Jan 23 07:48:28 UTC 2026","passed","Fri Jan 23 07:48:29 UTC 2026","Question Test Cases","QuestionTests/QuestionTests.Purchased.spec.ts","",""
"","4135","Open a premium question","purchased","Fri Jan 23 07:48:47 UTC 2026","passed","Fri Jan 23 07:48:51 UTC 2026","Technical Question page Test Cases","TechnicalQuestionDetailsTests/TQuestionTests.Purchased.spec.ts","",""
"","3857","Verify that user can view hints by clicking on hints button","purchased","Fri Jan 23 07:48:55 UTC 2026","passed","Fri Jan 23 07:48:59 UTC 2026","Technical Question page Test Cases","TechnicalQuestionDetailsTests/TQuestionTests.Purchased.spec.ts","",""
"","4122","Open a free question","guest","Fri Jan 23 07:48:26 UTC 2026","passed","Fri Jan 23 07:48:30 UTC 2026","Technical Question page Test Cases","TechnicalQuestionDetailsTests/TQuestionTests.Guest.spec.ts","",""
"","4729","Try a question with incorrect answer","purchased","Fri Jan 23 07:49:07 UTC 2026","passed","Fri Jan 23 07:49:12 UTC 2026","Technical Question page Test Cases","TechnicalQuestionDetailsTests/TQuestionTests.Purchased.spec.ts","",""
"","3841","Verify that user can view expected result by clicking on expected output buton","purchased","Fri Jan 23 07:48:59 UTC 2026","passed","Fri Jan 23 07:49:02 UTC 2026","Technical Question page Test Cases","TechnicalQuestionDetailsTests/TQuestionTests.Purchased.spec.ts","",""
"","3971","Open a free question","purchased","Fri Jan 23 07:48:51 UTC 2026","passed","Fri Jan 23 07:48:55 UTC 2026","Technical Question page Test Cases","TechnicalQuestionDetailsTests/TQuestionTests.Purchased.spec.ts","",""
"","3488","Verify that user delete a bookmark list","purchased","Fri Jan 23 07:48:24 UTC 2026","passed","Fri Jan 23 07:48:28 UTC 2026","bookmark Page Test Cases","BookmarkTests/BookmarkTests.Purchased.spec.ts","",""
"","4121","Verify that the user can add a question to an existing bookmark list.","purchased","Fri Jan 23 07:49:26 UTC 2026","passed","Fri Jan 23 07:49:30 UTC 2026","Technical Question page Test Cases","TechnicalQuestionDetailsTests/TQuestionTests.Purchased.spec.ts","",""
"","1399","Check the progress bar","guest","Fri Jan 23 07:48:20 UTC 2026","passed","Fri Jan 23 07:48:22 UTC 2026","Question Test Cases","QuestionTests/QuestionTests.Guest.spec.ts","",""
"","8375","Verify that user create a bookmark list from project detail page","purchased","Fri Jan 23 07:48:16 UTC 2026","passed","Fri Jan 23 07:48:24 UTC 2026","bookmark Page Test Cases","BookmarkTests/BookmarkTests.Purchased.spec.ts","",""
"","6353","Verify that user can share the answer with community","purchased","Fri Jan 23 07:49:12 UTC 2026","passed","Fri Jan 23 07:49:18 UTC 2026","Technical Question page Test Cases","TechnicalQuestionDetailsTests/TQuestionTests.Purchased.spec.ts","",""
"","3954","Open a premium question","guest","Fri Jan 23 07:48:22 UTC 2026","passed","Fri Jan 23 07:48:26 UTC 2026","Technical Question page Test Cases","TechnicalQuestionDetailsTests/TQuestionTests.Guest.spec.ts","",""
"","3785","Open a premium question","user","Fri Jan 23 07:48:31 UTC 2026","passed","Fri Jan 23 07:48:34 UTC 2026","Technical Question page Test Cases","TechnicalQuestionDetailsTests/TQuestionTests.Member.spec.ts","",""
"","1845","Verify that user create a bookmark list","purchased","Fri Jan 23 07:48:09 UTC 2026","passed","Fri Jan 23 07:48:11 UTC 2026","bookmark Page Test Cases","BookmarkTests/BookmarkTests.Purchased.spec.ts","",""
"","1551","Check the progress bar","user","Fri Jan 23 07:48:24 UTC 2026","passed","Fri Jan 23 07:48:26 UTC 2026","Question Test Cases","QuestionTests/QuestionTests.Member.spec.ts","",""
"","2178","Verify that user can rename a bookmark list","purchased","Fri Jan 23 07:48:07 UTC 2026","passed","Fri Jan 23 07:48:09 UTC 2026","bookmark Page Test Cases","BookmarkTests/BookmarkTests.Purchased.spec.ts","",""
"","4544","Check submission tab when there are no submissions","user","Fri Jan 23 07:48:26 UTC 2026","passed","Fri Jan 23 07:48:31 UTC 2026","Technical Question page Test Cases","TechnicalQuestionDetailsTests/TQuestionTests.Member.spec.ts","",""
